File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Not included
Contract type;Variable linear
Reference day;30/11/2024
Identifier;Description;Interest anchor date;Interest payment period;Principal anchor date;Principal payment period;Principal payment amount;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Last adjusted rate;Teaser spread;Teaser period end;Indexed curve;Indexed term;Interest rate floor;Interest rate cap;Reset anchor date;Reset period;Indexed rate scaling;Reset lag;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;C�digo de producto;C�digo de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;C�digo DRC;Clave ISIN cobertura;C�digo clasificaci�n activo;Descripci�n tama�o empresa;Consolidado reservado;Consolidado p�blico;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona f�sica/jur�dica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;C�digo DRC contable;C�digo tama�o empresa;C�d. segmento estrat�gico;Des. segmento estrat�gico;Edad;Segmento estrat�gico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
1121029_210373340500014504;;15/12/2024;3M;15/12/2024;3M;;;15/09/2024;15/06/2039;Yes;Long;100935,43;100935,43;15/06/2015;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;100935,43;;;;;;;;;;;;;No;;5,453;1,7500000000000002;16/06/2025;EURIBOR_SWAP;12M;0;;16/06/2025;12M;;2M;1,7500000000000002;UG;PERSONALES GTIA HIP FINANCIACION EMPRESAS;Banca Comercial;VAR;EUR;050;210;113200;A;04.02.05.04.00 Prestamos personales;33552000009;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-06;Sensible;02030000;;F06;Adultos 2B;52;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1121078_210322420510014220;;13/02/2025;3M;13/02/2025;3M;;;13/11/2024;13/02/2029;Yes;Long;51000;51000;13/02/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;51000;;;;;;;;;;;;;No;;4,178;0,5;14/02/2025;EURIBOR_SWAP;12M;0;;14/02/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F04;Adultos 1B;53;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1122798_210322490510105642;;30/04/2025;6M;30/04/2025;12M;;;30/04/2024;30/04/2027;Yes;Long;18049,28;18049,28;30/04/2019;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;18049,28;;;;;;;;;;;;;No;;5,718;2;01/05/2025;EURIBOR_SWAP;12M;0;;01/05/2025;12M;;2M;2;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;567;114124;A;04.02.05.04.00 Prestamos personales;33652000005;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-05;Sensible;01030202;;F03;Adultos 1A;42;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1123320_210346050510001115;;13/12/2024;1M;13/12/2024;1M;;;13/11/2024;13/02/2028;Yes;Long;32500,03;32500,03;13/02/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;32500,03;;;;;;;;;;;;;No;;4,172;0,5;14/02/2025;EURIBOR_SWAP;12M;0;;14/02/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F08;Seniors 1;72;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1123400_210374050500007053;;01/01/2025;3M;01/01/2025;3M;;;01/10/2024;01/10/2032;Yes;Long;960000;960000;30/09/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;960000;;;;;;;;;;;;;No;;3,9190000000000005;0,64;02/01/2025;EURIBOR_SWAP;3M;0;;02/01/2025;3M;;;0,64;UG;OTROS PRESTAMOS SECTOR PUBLICO;Banca Comercial;VAR;EUR;050;209;113105;A;04.01.03.00.00 Administraciones Locales;33551110006;03000000;;00;GRANDE;;;;;090;;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2025-01;Sensible;;04;J06;Organismos P�blicos;;SECTOR_PUBLICO;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.2.1 Inversi�n crediticia;;
1124330_210303370500031426;;31/01/2025;6M;31/01/2025;12M;;;31/01/2024;31/01/2028;Yes;Long;52500;52500;31/01/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;52500;;;;;;;;;;;;;No;;6,178999999999999;2,5;01/02/2025;EURIBOR_SWAP;12M;0;;01/02/2025;12M;;2M;2,5;UG;PERSONALES FINANCIACION EMPRESAS;Banca Comercial;VAR;EUR;050;209;113105;A;04.02.05.04.00 Prestamos personales;33552200000;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F09;Seniors 2;79;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1124804_210322210510016214;;01/02/2025;3M;01/02/2025;3M;;;01/11/2024;01/02/2029;Yes;Long;25500;25500;01/02/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;25500;;;;;;;;;;;;;No;;4,072;0,5;02/02/2025;EURIBOR_SWAP;12M;0;;02/02/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F04;Adultos 1B;57;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1124913_210322210510016072;;24/01/2025;3M;24/01/2025;3M;;;24/10/2024;24/01/2029;Yes;Long;34000;34000;24/01/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;34000;;;;;;;;;;;;;No;;4,165;0,5;25/01/2025;EURIBOR_SWAP;12M;0;;25/01/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;01030202;;F04;Adultos 1B;55;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1126138_210371070500030206;;30/11/2024;1M;30/09/2025;12M;;;30/09/2024;30/09/2026;Yes;Long;54064,37;54064,37;30/09/2014;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;54064,37;;;;;;;;;;;;;No;;4,666;1,5;01/10/2025;EURIBOR_SWAP;12M;0;;01/10/2025;12M;;2M;1,5;UG;HIPOTECARIOS FINANCIACION EMPRESAS;Banca Comercial;VAR;EUR;050;210;113200;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-10;Sensible;01030201;;F08;Seniors 1;69;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1126493_210308850500004989;;12/03/2025;6M;12/09/2025;12M;;;12/09/2024;12/09/2027;Yes;Long;51428,54;51428,54;12/09/2012;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;51428,54;;;;;;;;;;;;;No;;6,081;2,555;13/09/2025;EURIBOR_SWAP;12M;3,5000000000000004;;13/09/2025;12M;;2M;2,555;UG;HIPOTECARIOS AGRICOLAS;Banca Comercial;VAR;EUR;050;264;114200;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-09;Sensible;01030201;;F06;Adultos 2B;47;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1126816_210300035702385106000020200712;;15/02/2025;6M;15/02/2025;6M;;;15/08/2024;15/08/2025;Yes;Short;4320;4320;16/07/2020;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;4320;;;;;;;;;;;;;No;;3,585;;;EURIBOR_SWAP;6M;;;15/08/2025;6M;;;0,21;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1127732_210370070500042677;;23/12/2024;1M;23/12/2024;1M;;;23/11/2024;23/07/2029;Yes;Long;12880;12880;23/07/2004;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;12880;;;;;;;;;;;;;No;;4,93;1,25;24/01/2025;EURIBOR_SWAP;12M;0;;24/01/2025;6M;;2M;1,25;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;02010100;;F07;Adultos 3;56;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1128108_210324010530000123;;26/12/2024;3M;26/12/2024;3M;;;26/09/2024;26/12/2029;Yes;Long;1516666,7;1516666,7;26/12/2019;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1516666,7;;;;;;;;;;;;;No;;3,852;0,5;27/12/2024;EURIBOR_SWAP;3M;0;;27/12/2024;3M;;;0,5;UG;OTROS PRESTAMOS SECTOR PUBLICO;Banca Comercial;VAR;EUR;053;201;111101;A;04.01.03.00.00 Administraciones Locales;33551110006;03000000;;00;GRANDE;;;;;090;;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2024-12;Sensible;;04;J06;Organismos P�blicos;;SECTOR_PUBLICO;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.2.1 Inversi�n crediticia;;
1130582_2103000356020261096000201804224;;15/05/2025;6M;15/05/2025;6M;;;15/11/2024;15/05/2026;Yes;Short;5437,5;5437,5;26/04/2018;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5437,5;;;;;;;;;;;;;No;;3,4479999999999995;;;EURIBOR_SWAP;6M;;;15/05/2026;6M;;;0,7;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1133870_210343650510103513;;09/12/2024;6M;09/08/2025;6M;;;09/02/2025;09/02/2029;Yes;Long;60000;60000;09/02/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;60000;;;;;;;;;;;;;No;;4,156;0,5;10/02/2025;EURIBOR_SWAP;12M;0;;10/02/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F06;Adultos 2B;55;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1133930_210353430500091521;;20/01/2025;6M;20/01/2025;6M;;;20/07/2024;20/07/2035;Yes;Long;326236,59;326236,59;20/01/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;326236,59;;;;;;;;;;;;;No;;4,93;1,25;21/07/2025;EURIBOR_SWAP;12M;0;;21/07/2025;12M;;2M;1,25;UG;HIPOTECARIOS AGRICOLAS;Banca Comercial;VAR;EUR;050;264;114200;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-07;Sensible;01030201;;F04;Adultos 1B;55;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1134917_210300035602064109600020180617;;15/01/2025;6M;15/01/2025;6M;;;15/07/2024;15/07/2026;Yes;Short;18250;18250;21/06/2018;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;18250;;;;;;;;;;;;;No;;3,885;;;EURIBOR_SWAP;6M;;;15/07/2026;6M;;;0,25;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1135066_210304220510002355;;25/01/2025;6M;25/01/2025;12M;;;25/01/2024;25/01/2028;Yes;Long;16666,66;16666,66;25/01/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;16666,66;;;;;;;;;;;;;No;;5,4719999999999995;1,4500000000000002;26/01/2025;EURIBOR_SWAP;12M;0;;26/01/2025;12M;;2M;1,4500000000000002;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;351;114130;A;04.02.05.04.00 Prestamos personales;33652000005;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;01030202;;F04;Adultos 1B;46;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1136071_210328500515224875;;28/02/2025;6M;28/02/2025;6M;;;28/08/2024;29/08/2033;Yes;Long;25772;25772;29/08/2008;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;25772;;;;;;;;;;;;;No;;4,21;0,6;30/08/2025;EURIBOR_SWAP;12M;0;;30/08/2025;12M;;;0,6;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-08;Sensible;02010100;;F04;Adultos 1B;49;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1136863_210342200514732128;;26/04/2025;6M;26/04/2025;6M;;;26/10/2024;26/10/2037;Yes;Long;43333,22;43333,22;26/10/2007;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;43333,22;;;;;;;;;;;;;No;;4,21;0,6;27/04/2025;EURIBOR_SWAP;12M;0;;27/04/2025;6M;;;0,6;UG;PERSONALES GTIA HIP COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.05.04.00 Prestamos personales;33552000009;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-04;Sensible;02030000;;F06;Adultos 2B;50;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1140183_210300035803095107201220231001;;10/04/2025;6M;10/04/2025;6M;;;10/10/2024;10/10/2029;Yes;Short;85000;85000;05/10/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;85000;;;;;;;;;;;;;No;;3,225;;;EURIBOR_SWAP;6M;;;10/10/2029;6M;;;0,17;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1141320_210324030510001603;;17/01/2025;6M;17/01/2025;6M;;;17/07/2024;17/01/2029;Yes;Long;36000;36000;17/01/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;36000;;;;;;;;;;;;;No;;4,032;0,5;18/01/2025;EURIBOR_SWAP;12M;0;;18/01/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;01030202;;F06;Adultos 2B;52;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1141656_210371040500049173;;10/03/2025;12M;10/03/2025;12M;;;10/03/2024;10/03/2026;Yes;Long;21447,44;21447,44;10/03/2006;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;21447,44;;;;;;;;;;;;;No;;4,526;1;11/09/2025;EURIBOR_SWAP;12M;3,05;12;11/09/2025;12M;;2M;1;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-09;Sensible;01030201;;F09;Seniors 2;69;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
114289_210372970500008678;;29/12/2024;3M;29/06/2025;12M;;;29/06/2024;29/06/2026;Yes;Long;15733,29;15733,29;29/06/2011;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;15733,29;;;;;;;;;;;;;No;;5,526;2;30/09/2025;EURIBOR_SWAP;12M;4,5;12;30/09/2025;12M;;2M;2;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152040000;01030202;;02;PYME - MICROEMPRESA;;;;;120;130;140;J;;N;N;A.2.1.3;Original;EUR;Activo general;2025-09;Sensible;01030201;01;J04;Microempresas;;MICROEMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;1.8.2.5.1.1 Inversi�n crediticia;;
1146500_210374130500008819;;01/02/2025;3M;01/11/2025;12M;;;01/11/2024;01/11/2026;Yes;Long;200000;200000;02/03/2018;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;200000;;;;;;;;;;;;;No;;3,6519999999999997;1,08;02/05/2025;EURIBOR_SWAP_MAS_0,025;12M;0;;02/05/2025;6M;;;1,08;UG;PERSONALES FINANCIACION EMPRESAS;Banca Empresas;VAR;EUR;050;209;113105;A;04.02.05.04.00 Prestamos personales;33552000009;01030102;;03;GRANDE;;;;;120;;;J;;N;N;A.2.1.4;Original;EUR;Activo general;2025-05;Sensible;01030102;04;J01;Grandes empresas;;GRANDES EMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.2.1 Inversi�n crediticia;;
1148408_210347060513015001;;10/02/2025;6M;10/02/2025;6M;;;10/08/2024;10/08/2032;Yes;Long;32000;32000;10/08/2007;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;32000;;;;;;;;;;;;;No;;4,21;0;11/08/2025;EURIBOR_SWAP;12M;0;12,5;11/08/2025;12M;;;0;UG;PERSONALES GTIA HIP COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.05.04.00 Prestamos personales;33552000009;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-08;Sensible;02030000;;F07;Adultos 3;52;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
1148537_2103000352021271240000201406158;;20/12/2024;6M;20/12/2024;6M;;;20/06/2024;20/06/2034;Yes;Short;69000;69000;18/06/2014;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;69000;;;;;;;;;;;;;No;;5,139;;;EURIBOR_SWAP;6M;;;20/06/2034;6M;;;1,45;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1150026_210322070515355053;;29/04/2025;6M;29/04/2025;6M;;;29/10/2024;29/10/2033;Yes;Long;23328;23328;29/10/2008;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;23328;;;;;;;;;;;;;No;;4,21;0,6;30/04/2025;EURIBOR_SWAP;12M;0;;30/04/2025;12M;;;0,6;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-04;Sensible;02010100;;F07;Adultos 3;40;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1150574_210372260500010288;;21/12/2024;1M;21/12/2024;1M;;;21/11/2024;21/03/2026;Yes;Long;3276,5;3276,5;21/01/2004;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3276,5;;;;;;;;;;;;;No;;6,43;2,75;22/01/2025;EURIBOR_SWAP;12M;0;11;22/01/2025;6M;;2M;2,75;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;02010100;;F09;Seniors 2;66;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
1150770_210347490513013084;;17/12/2024;6M;17/12/2024;6M;;;17/06/2024;17/12/2038;Yes;Long;39826,77;39826,77;07/11/2007;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;39826,77;;;;;;;;;;;;;No;;4,21;0;18/06/2025;EURIBOR_SWAP;12M;0;12,5;18/06/2025;12M;;;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.02.01.00 Con garantia hipotecaria;33152040000;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-06;Sensible;02010100;;F06;Adultos 2B;50;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
1152044_210342660515291011;;28/04/2025;6M;28/04/2025;6M;;;28/10/2024;28/10/2035;Yes;Long;44000;44000;28/10/2008;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;44000;;;;;;;;;;;;;No;;4,21;0,6;29/04/2025;EURIBOR_SWAP;12M;0;;29/04/2025;12M;;;0,6;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-04;Sensible;02010100;;F05;Adultos 2A;44;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1152406_210326530500123285;;29/12/2024;1M;29/12/2024;1M;;;29/11/2024;29/06/2035;Yes;Long;30237,9;30237,9;29/06/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;30237,9;;;;;;;;;;;;;No;;5,702999999999999;2;30/06/2025;EURIBOR_SWAP;12M;0;;30/06/2025;12M;;2M;2;UG;HIPOTECARIOS AGRICOLAS;Banca Comercial;VAR;EUR;050;264;114200;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;01030202;;02;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-06;Sensible;01030202;;F03;Adultos 1A;30;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1154647_210322180510000752;;10/02/2025;6M;10/02/2025;12M;;;10/02/2024;10/02/2028;Yes;Long;68500;68500;10/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;68500;;;;;;;;;;;;;No;;5,679;2;11/02/2025;EURIBOR_SWAP;12M;0;;11/02/2025;12M;;2M;2;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;567;114124;A;04.02.05.04.00 Prestamos personales;33652000005;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F03;Adultos 1A;33;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
115477_210332670516069377;;22/04/2025;6M;22/04/2025;6M;;;22/10/2024;22/10/2035;Yes;Long;37664;37664;22/10/2010;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;37664;;;;;;;;;;;;;No;;4,859999999999999;1,25;23/04/2025;EURIBOR_SWAP;12M;0;;23/04/2025;6M;;;1,25;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-04;Sensible;02010100;;F06;Adultos 2B;51;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
