File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Not included
Contract type;Fixed linear
Reference day;30/11/2024
Identifier;Description;Interest anchor date;Interest payment period;Principal anchor date;Principal payment period;Principal payment amount;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Indexed rate;Comision cancelacion RI3;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;C�digo de producto;C�digo de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;C�digo DRC;Clave ISIN cobertura;C�digo clasificaci�n activo;Descripci�n tama�o empresa;Consolidado reservado;Consolidado p�blico;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona f�sica/jur�dica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;C�digo DRC contable;C�digo tama�o empresa;C�d. segmento estrat�gico;Des. segmento estrat�gico;Edad;Segmento estrat�gico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
1110366_210322420510012259;;18/12/2024;3M;18/03/2025;12M;;;18/03/2024;18/03/2025;Yes;Long;8000;8000;18/03/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;8000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552200000;01030202;;02;PYME - PEQUE�A;;;;;120;130;;J;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;02;J03;Peque�as empresas;;PEQUE�AS EMPRESAS;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
1111181_210383550500864785;;01/12/2024;1M;01/12/2024;1M;;;01/11/2024;01/12/2026;Yes;Long;2114,15;2114,15;01/12/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2114,15;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F06;Adultos 2B;51;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1113414_210320410500023716;;28/02/2025;3M;29/11/2025;12M;;;29/11/2024;29/11/2027;Yes;Long;396613,6;396613,6;29/11/2013;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;396613,6;;;;;;;;;;;;;No;;1,7500000000000002;1;0;UG;HIPOTECARIOS AGRICOLAS;Banca Empresas;FIX;EUR;050;264;114200;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;01030102;;03;GRANDE;;;;;120;140;;J;;N;N;A.2.2;Original;EUR;Prestamo fijo mayorista;;Sensible;01030101;04;J01;Grandes empresas;;GRANDES EMPRESAS;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.5.2.1 Inversi�n crediticia;;
1113595_210383550500872142;;20/12/2024;1M;20/12/2024;1M;;;20/11/2024;20/05/2025;Yes;Long;1265,95;1265,95;20/05/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1265,95;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;67;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1115861_210383550500893272;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;31/03/2027;Yes;Long;2036,55;2036,55;14/03/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2036,55;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F03;Adultos 1A;37;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1118407_210383550500890989;;27/12/2024;1M;27/12/2024;1M;;;27/11/2024;27/12/2026;Yes;Long;9631,11;9631,11;27/12/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;9631,11;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F05;Adultos 2A;41;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
111920_210383550500888331;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;31/10/2026;Yes;Long;1308,18;1308,18;02/10/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1308,18;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;42;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1121011_210322420510011571;;18/02/2025;3M;18/02/2025;12M;;;18/02/2024;18/02/2025;Yes;Long;8000;8000;18/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;8000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F03;Adultos 1A;41;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1123015_210371760500069046;;22/12/2024;1M;22/12/2024;1M;;;22/11/2024;22/10/2038;Yes;Long;2456,47;2456,47;22/12/2009;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2456,47;;;;;;;;;;;;;No;;0;1;0;UG;PERSONALES GTIA HIP COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;422;112002;A;04.02.05.04.00 Prestamos personales;33552000009;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F03;Adultos 1A;41;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
112318_210346110510103418;;26/02/2025;6M;26/02/2025;6M;;;26/08/2024;26/02/2025;Yes;Long;4000;4000;26/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;4000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F06;Adultos 2B;53;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1123222_210346110510103472;;16/04/2025;6M;16/04/2025;6M;;;16/10/2024;16/04/2025;Yes;Long;4000;4000;16/04/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;4000;;;;;;;;;;;;;No;;1,5;0;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;333;114135;A;04.02.05.04.00 Prestamos personales;33652000005;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F05;Adultos 2A;37;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1126927_210383550500871429;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;31/05/2025;Yes;Long;1008,44;1008,44;05/05/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1008,44;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F02;J�venes;27;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1128781_210343250510000240;;04/02/2025;6M;04/02/2025;12M;;;04/02/2024;04/02/2025;Yes;Long;5000;5000;04/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F07;Adultos 3;49;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1128972_210383550500888741;;17/12/2024;1M;17/12/2024;1M;;;17/11/2024;17/04/2025;Yes;Long;438,52;438,52;17/10/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;438,52;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;60;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
113142_210383550500896876;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;31/07/2025;Yes;Long;1485;1485;17/07/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1485;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Servicios Centrales;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;71;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1134866_210383550500882480;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;31/03/2025;Yes;Long;2420,89;2420,89;27/03/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2420,89;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;64;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1135421_210322260510004179;;27/02/2025;6M;27/02/2025;6M;;;27/08/2024;27/02/2025;Yes;Long;4000;4000;27/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;4000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552200000;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F05;Adultos 2A;31;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1139575_210322270510003197;;22/01/2025;6M;22/01/2025;12M;;;22/01/2024;22/01/2025;Yes;Long;7900;7900;22/01/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;7900;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F09;Seniors 2;65;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1142045_210345160510003503;;24/02/2025;6M;24/02/2025;6M;;;24/08/2024;24/02/2025;Yes;Long;3000;3000;24/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F04;Adultos 1B;48;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
114208_210383550500895957;;17/12/2024;1M;17/12/2024;1M;;;17/11/2024;17/06/2025;Yes;Long;1166,65;1166,65;17/06/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1166,65;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F02;J�venes;22;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1146262_210322230510104894;;22/01/2025;12M;22/01/2025;12M;;;22/01/2024;22/01/2025;Yes;Long;5000;5000;22/01/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552200000;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F07;Adultos 3;61;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1146899_210383550500896251;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;30/06/2025;Yes;Long;720,92;720,92;25/06/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;720,92;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;75;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1150283_210383550500872366;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;31/05/2025;Yes;Long;1714,88;1714,88;31/05/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1714,88;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;61;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1151356_210323200510002899;;05/12/2024;3M;05/12/2024;3M;;;05/09/2024;05/03/2025;Yes;Long;5000;5000;05/03/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F04;Adultos 1B;47;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1151408_210383550500889768;;10/12/2024;1M;10/12/2024;1M;;;10/11/2024;10/11/2028;Yes;Long;5014,99;5014,99;10/11/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5014,99;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F06;Adultos 2B;64;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1151618_210383550500890765;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;30/06/2025;Yes;Long;768,71;768,71;14/12/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;768,71;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;61;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1153652_210340390500059532;;26/12/2024;1M;26/12/2024;1M;;;26/11/2024;26/09/2028;Yes;Long;25300;25300;26/09/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;25300;;;;;;;;;;;;;No;;4,9;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;050;273;114136;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;PYME - MICROEMPRESA;;;;;120;130;;J;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;01;J04;Microempresas;;MICROEMPRESAS;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
1153692_210322530510000678;;06/02/2025;6M;06/02/2025;6M;;;06/08/2024;06/02/2025;Yes;Long;2000;2000;06/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F07;Adultos 3;49;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1155125_210383550500886119;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;31/07/2025;Yes;Long;878,56;878,56;10/07/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;878,56;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;60;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1155251_210383550500838742;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;30/06/2025;Yes;Long;1400;1400;29/06/2020;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1400;;;;;;;;;;;;;No;;0;3;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;59;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1157729_210383550500896821;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;31/07/2026;Yes;Long;5311,08;5311,08;16/07/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5311,08;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Servicios Centrales;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;62;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1158080_210383550500878761;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;30/11/2025;Yes;Long;2687,43;2687,43;28/11/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2687,43;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;46;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1159334_210343400510004675;;28/02/2025;6M;28/02/2025;6M;;;28/08/2024;28/02/2025;Yes;Long;5000;5000;28/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552200000;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F07;Adultos 3;58;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1159535_210342140510000262;;09/01/2025;6M;09/01/2025;12M;;;09/01/2024;09/01/2025;Yes;Long;8500;8500;09/01/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;8500;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F04;Adultos 1B;61;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1159765_210343400510004700;;04/02/2025;3M;04/02/2025;6M;;;04/08/2024;04/02/2025;Yes;Long;5000;5000;04/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F04;Adultos 1B;60;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1160645_210327400510003391;;18/02/2025;3M;18/02/2025;3M;;;18/11/2024;18/02/2025;Yes;Long;1562,5;1562,5;18/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1562,5;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F04;Adultos 1B;52;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1161292_210325290510000328;;06/02/2025;6M;06/02/2025;6M;;;06/08/2024;06/02/2025;Yes;Long;1000;1000;06/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F08;Seniors 1;65;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1161746_210346110510103285;;25/02/2025;6M;25/02/2025;6M;;;25/08/2024;25/02/2025;Yes;Long;1000;1000;25/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F07;Adultos 3;53;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1163942_210322570510003109;;19/02/2025;6M;19/02/2025;6M;;;19/08/2024;19/02/2025;Yes;Long;4000;4000;19/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;4000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F04;Adultos 1B;62;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1164295_210383550500882499;;30/11/2024;1M;30/11/2024;1M;;;30/10/2024;31/03/2025;Yes;Long;378,92;378,92;27/03/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;378,92;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;100;111070;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;55;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1165252_210343460510001075;;19/02/2025;6M;19/02/2025;6M;;;19/08/2024;19/02/2025;Yes;Long;2000;2000;19/02/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2000;;;;;;;;;;;;;No;;1,5;1;0;UG;PERSONALES AGRICOLAS;Banca Comercial;FIX;EUR;051;323;114131;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F08;Seniors 1;70;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
