File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Not included
Contract type;Fixed annuity
Reference day;30/11/2024
Identifier;Description;Payment anchor date;Payment period;Current payment;Principal payments rate;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Indexed rate;Comision cancelacion RI3;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;Código de producto;Código de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;Código DRC;Clave ISIN cobertura;Código clasificación activo;Descripción tamaño empresa;Consolidado reservado;Consolidado público;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona física/jurídica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;Código DRC contable;Código tamaño empresa;Cód. segmento estratégico;Des. segmento estratégico;Edad;Segmento estratégico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
100837_210372180510000056;;19/12/2024;1M;;;;19/11/2024;19/11/2025;Yes;Long;3016,53;3016,53;19/11/2020;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3016,53;;;;;;;;;;;;;No;;1,9;1;0;UG;PERSONALES FINANCIACION EMPRESAS;Banca Comercial;FIX;EUR;051;577;113155;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;PYME - PEQUEÑA;;;;;120;130;;J;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;02;J03;Pequeñas empresas;;PEQUEÑAS EMPRESAS;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.5.1.1 Inversión crediticia;;
1008385_210303700500033235;;19/12/2024;1M;;;;19/11/2024;19/05/2052;Yes;Long;104912,68;104912,68;19/05/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;104912,68;;;;;;;;;;;;;No;;1,7000000000000002;0,5;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;478;112160;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F02;Jóvenes;27;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008390_210371360500118126;;23/12/2024;1M;;;;23/11/2024;23/01/2025;Yes;Long;6,5;6,5;23/01/2019;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;6,5;;;;;;;;;;;;;No;;7,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;145;111048;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F02;Jóvenes;25;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008392_210376400500049227;;06/12/2024;1M;;;;06/11/2024;06/04/2047;Yes;Long;552448,67;552448,67;06/02/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;552448,67;;;;;;;;;;;;;No;;2,6;3;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;112;112032;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F04;Adultos 1B;47;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008393_210373740500059681;;05/12/2024;1M;;;;05/11/2024;05/04/2049;Yes;Long;123001,58;123001,58;09/03/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;123001,58;;;;;;;;;;;;;No;;1,22;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F03;Adultos 1A;42;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008418_210371690500000369;;11/12/2024;1M;;;;11/11/2024;11/08/2050;Yes;Long;80498,35;80498,35;11/08/2020;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;80498,35;;;;;;;;;;;;;No;;4,17;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F05;Adultos 2A;42;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008419_210370940500002615;;28/12/2024;1M;;;;28/11/2024;28/04/2047;Yes;Long;65429,58;65429,58;11/04/2017;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;65429,58;;;;;;;;;;;;;No;;2,1999999999999997;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F05;Adultos 2A;41;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008422_210301940500065588;;25/12/2024;1M;;;;25/11/2024;25/01/2031;Yes;Long;8233,3;8233,3;25/01/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;8233,3;;;;;;;;;;;;;No;;7,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552200000;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F06;Adultos 2B;52;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008424_210372630500025944;;01/12/2024;1M;;;;01/11/2024;01/03/2030;Yes;Long;21931,41;21931,41;01/03/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;21931,41;;;;;;;;;;;;;No;;6,1;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F03;Adultos 1A;36;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008426_210356500500047328;;03/12/2024;1M;;;;03/11/2024;03/01/2028;Yes;Long;1670,83;1670,83;03/01/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1670,83;;;;;;;;;;;;;No;;8,7;1,5;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;075;111009;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F06;Adultos 2B;58;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008435_210301880500044573;;30/11/2024;1M;;;;30/10/2024;30/01/2025;Yes;Long;530,1;530,1;30/01/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;530,1;;;;;;;;;;;;;No;;6,800000000000001;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;919;111020;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;54;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008444_210371000500135010;;20/12/2024;1M;;;;20/11/2024;20/09/2025;Yes;Long;1670,85;1670,85;20/09/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1670,85;;;;;;;;;;;;;No;;3;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;089;111024;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;46;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
100844_210347810500112920;;12/12/2024;1M;;;;12/11/2024;12/05/2026;Yes;Long;2419,32;2419,32;12/05/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2419,32;;;;;;;;;;;;;No;;5,949999999999999;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;001;111000;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F06;Adultos 2B;57;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008472_210332320500132781;;26/12/2024;1M;;;;26/11/2024;26/01/2027;Yes;Long;2241,64;2241,64;26/01/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2241,64;;;;;;;;;;;;;No;;8,5;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;063;111008;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F02;Jóvenes;25;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008474_210378430500008025;;12/12/2024;1M;;;;12/11/2024;12/03/2025;Yes;Long;604,27;604,27;12/03/2020;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;604,27;;;;;;;;;;;;;No;;5,5;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;147;111047;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F03;Adultos 1A;43;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008481_210306230500091300;;21/12/2024;1M;;;;21/11/2024;21/11/2026;Yes;Long;2666,63;2666,63;21/11/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2666,63;;;;;;;;;;;;;No;;6,5;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;075;111009;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F03;Adultos 1A;44;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
100849_210353410500147377;;08/12/2024;1M;;;;08/11/2024;08/03/2025;Yes;Long;302,3;302,3;08/03/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;302,3;;;;;;;;;;;;;No;;7,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;063;111008;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;28;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008502_210376470500028822;;19/12/2024;1M;;;;19/11/2024;19/01/2026;Yes;Long;654,09;654,09;19/01/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;654,09;;;;;;;;;;;;;No;;8,4;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552200000;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F02;Jóvenes;22;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008516_210399170500156683;;30/11/2024;1M;;;;30/10/2024;30/04/2025;Yes;Long;400,8;400,8;28/06/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;400,8;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;067;111117;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;45;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008531_210371520500055969;;26/12/2024;1M;;;;26/11/2024;26/08/2026;Yes;Long;4648,88;4648,88;29/07/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;4648,88;;;;;;;;;;;;;No;;6,5;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;71;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008539_210345370500009068;;19/12/2024;1M;;;;19/11/2024;19/06/2027;Yes;Long;3507,3;3507,3;19/06/2019;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3507,3;;;;;;;;;;;;;No;;7,449999999999999;3;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;51;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008542_210379540500003427;;30/11/2024;1M;;;;30/10/2024;30/01/2030;Yes;Long;9022,72;9022,72;30/01/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;9022,72;;;;;;;;;;;;;No;;8,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;029;111063;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F05;Adultos 2A;42;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
100855_210373410500016095;;10/12/2024;1M;;;;10/11/2024;10/05/2042;Yes;Long;30527,95;30527,95;10/05/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;30527,95;;;;;;;;;;;;;No;;2,2399999999999998;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F07;Adultos 3;34;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008561_210347960500104040;;22/12/2024;1M;;;;22/11/2024;22/09/2031;Yes;Long;5816,74;5816,74;22/09/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5816,74;;;;;;;;;;;;;No;;8,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;029;111063;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;55;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008565_210371390500149199;;20/12/2024;1M;;;;20/11/2024;20/01/2053;Yes;Long;153589,1;153589,1;20/01/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;153589,1;;;;;;;;;;;;;No;;2,75;3;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;112;112032;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F05;Adultos 2A;33;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008584_210307290500020372;;13/12/2024;1M;;;;13/11/2024;13/05/2029;Yes;Long;22041,17;22041,17;13/05/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;22041,17;;;;;;;;;;;;;No;;6,950000000000001;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;079;111010;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F04;Adultos 1B;45;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008588_210301940500037028;;23/12/2024;1M;;;;23/11/2024;23/08/2029;Yes;Long;30965,51;30965,51;23/08/2004;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;30965,51;;;;;;;;;;;;;No;;1,95;0;0;UG;HIPOTECARIOS SUBROGACIONES;Banca Comercial;FIX;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F04;Adultos 1B;51;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008591_210371550500051559;;15/12/2024;1M;;;;15/11/2024;15/04/2029;Yes;Long;9023,6;9023,6;15/04/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;9023,6;;;;;;;;;;;;;No;;7,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F06;Adultos 2B;53;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008608_210377410500016750;;27/12/2024;1M;;;;27/11/2024;27/02/2049;Yes;Long;113111,15;113111,15;27/02/2019;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;113111,15;;;;;;;;;;;;;No;;3,27;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F06;Adultos 2B;47;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008622_210372890500033169;;11/12/2024;1M;;;;11/11/2024;11/04/2028;Yes;Long;3482,52;3482,52;11/10/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3482,52;;;;;;;;;;;;;No;;7,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;075;111009;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;56;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008651_210372210500040321;;27/12/2024;1M;;;;27/11/2024;27/12/2049;Yes;Long;193657,4;193657,4;27/12/2019;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;193657,4;;;;;;;;;;;;;No;;0,95;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F05;Adultos 2A;42;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
100865_210345410500100202;;07/12/2024;1M;;;;07/11/2024;07/07/2031;Yes;Long;16385,25;16385,25;07/07/2016;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;16385,25;;;;;;;;;;;;;No;;2,8000000000000003;3;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F07;Adultos 3;41;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008684_210340030500120799;;03/12/2024;1M;;;;03/11/2024;03/09/2026;Yes;Long;3479,85;3479,85;03/09/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3479,85;;;;;;;;;;;;;No;;7,199999999999999;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;075;111009;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F06;Adultos 2B;53;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008687_210375460500011164;;05/12/2024;1M;;;;05/11/2024;05/11/2026;Yes;Long;7667,61;7667,61;05/11/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;7667,61;;;;;;;;;;;;;No;;4,31;1;0;UG;PERSONALES FINANCIACION EMPRESAS;Banca Comercial;FIX;EUR;050;209;113105;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F02;Jóvenes;23;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008716_210372480500071368;;20/12/2024;1M;;;;20/11/2024;20/05/2049;Yes;Long;112464,7;112464,7;20/05/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;112464,7;;;;;;;;;;;;;No;;1,5;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F04;Adultos 1B;50;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
100872_210322030500130389;;21/12/2024;1M;;;;21/11/2024;21/06/2037;Yes;Long;20122,3;20122,3;21/06/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;20122,3;;;;;;;;;;;;;No;;1,4000000000000001;3;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;498;112034;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010200;;F04;Adultos 1B;54;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008731_210373960500033515;;12/12/2024;1M;;;;12/11/2024;12/01/2026;Yes;Long;38122,75;38122,75;12/01/2021;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;38122,75;;;;;;;;;;;;;No;;1,6;1;0;UG;PERSONALES FINANCIACION EMPRESAS;Banca Comercial;FIX;EUR;051;337;113141;A;04.02.05.04.00 Prestamos personales;33552200000;01010300;;01;PYME - PEQUEÑA;;;;;120;130;;J;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01010300;02;J03;Pequeñas empresas;;PEQUEÑAS EMPRESAS;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.5.1.1 Inversión crediticia;;
1008733_210301320500025080;;26/12/2024;1M;;;;26/11/2024;26/02/2040;Yes;Long;94237,28;94237,28;26/06/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;94237,28;;;;;;;;;;;;;No;;2,25;1;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F06;Adultos 2B;47;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008736_210322630500123447;;22/12/2024;1M;;;;22/11/2024;22/02/2026;Yes;Long;5483,62;5483,62;22/02/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5483,62;;;;;;;;;;;;;No;;6,950000000000001;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;079;111010;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;66;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1008739_210303560510000669;;22/12/2024;1M;;;;22/11/2024;22/04/2025;Yes;Long;7125,65;7125,65;22/04/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;7125,65;;;;;;;;;;;;;No;;2;1;0;UG;PERSONALES FINANCIACION EMPRESAS;Banca Comercial;FIX;EUR;051;337;113141;A;04.02.05.04.00 Prestamos personales;33552200000;01030202;;02;PYME - PEQUEÑA;;;;;120;130;;J;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;02;J03;Pequeñas empresas;;PEQUEÑAS EMPRESAS;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.5.1.1 Inversión crediticia;;
